season,date,regular,playoffs,home,away,whos_favored,spread,home_code_clean,away_code_clean,home_abbr,away_abbr,GAME_ID,GAME_DATE,SEASON_LABEL,SEASON_TYPE,home_team_abbr,home_pts_x,home_reb,home_ast,home_fgm,home_fga_x,home_fg3m_x,home_fg3a_x,home_ftm,home_fta_x,home_tov_x,home_stl,home_blk,home_plus_minus,away_team_abbr,away_pts_x,away_reb,away_ast,away_fgm,away_fga_x,away_fg3m_x,away_fg3a_x,away_ftm,away_fta_x,away_tov_x,away_stl,away_blk,away_plus_minus,home_margin,home_pts_y,home_fga_y,home_fta_y,home_oreb,home_tov_y,home_fg3m_y,home_fg3a_y,away_pts_y,away_fga_y,away_fta_y,away_oreb,away_tov_y,away_fg3m_y,away_fg3a_y,score_home,score_away,spread_home,margin_home,home_win,away_win,ats_margin_home,ats_push,ats_home_cover,covered_home
2018,2017-10-20,True,False,no,gs,away,9.0,no,gs,NOP,GSW,21700025.0,2017-10-20,2018.0,Regular Season,NOP,120.0,50.0,26.0,45.0,98.0,16.0,36.0,14.0,22.0,19.0,8.0,4.0,-8.0,GSW,128.0,49.0,29.0,47.0,91.0,18.0,40.0,16.0,20.0,18.0,6.0,8.0,8.0,-8.0,,,,,,,,,,,,,,,120.0,128.0,9.0,-8.0,0,1,1.0,0,1,1
2018,2017-10-20,True,False,phx,lal,home,-3.5,phx,lal,PHX,LAL,21700026.0,2017-10-20,2018.0,Regular Season,PHX,130.0,50.0,17.0,45.0,92.0,14.0,29.0,26.0,38.0,19.0,8.0,9.0,-2.0,LAL,132.0,42.0,22.0,48.0,93.0,12.0,26.0,24.0,33.0,18.0,8.0,3.0,2.0,-2.0,,,,,,,,,,,,,,,130.0,132.0,-3.5,-2.0,0,1,-5.5,0,0,0
2018,2017-10-21,True,False,mem,gs,away,8.5,mem,gs,MEM,GSW,21700033.0,2017-10-21,2018.0,Regular Season,MEM,111.0,40.0,20.0,36.0,77.0,10.0,27.0,29.0,37.0,14.0,8.0,4.0,10.0,GSW,101.0,46.0,20.0,33.0,84.0,12.0,38.0,23.0,27.0,17.0,10.0,7.0,-10.0,10.0,,,,,,,,,,,,,,,111.0,101.0,8.5,10.0,1,0,18.5,0,1,1
2018,2017-10-21,True,False,lac,phx,home,-13.5,lac,phx,LAC,PHX,21700037.0,2017-10-21,2018.0,Regular Season,LAC,130.0,52.0,26.0,48.0,88.0,12.0,26.0,22.0,30.0,12.0,12.0,2.0,42.0,PHX,88.0,36.0,19.0,27.0,71.0,6.0,24.0,28.0,38.0,20.0,8.0,3.0,-42.0,42.0,,,,,,,,,,,,,,,130.0,88.0,-13.5,42.0,1,0,28.5,0,1,1
2018,2017-10-21,True,False,den,sac,home,-12.5,den,sac,DEN,SAC,21700035.0,2017-10-21,2018.0,Regular Season,DEN,96.0,58.0,25.0,37.0,85.0,10.0,30.0,12.0,20.0,16.0,7.0,2.0,17.0,SAC,79.0,39.0,15.0,31.0,85.0,8.0,22.0,9.0,13.0,14.0,6.0,3.0,-17.0,17.0,,,,,,,,,,,,,,,96.0,79.0,-12.5,17.0,1,0,4.5,0,1,1
2018,2017-10-21,True,False,utah,okc,away,4.0,utah,okc,UTA,OKC,21700036.0,2017-10-21,2018.0,Regular Season,UTA,96.0,41.0,22.0,38.0,77.0,9.0,29.0,11.0,14.0,19.0,11.0,4.0,9.0,OKC,87.0,38.0,15.0,32.0,78.0,11.0,33.0,12.0,19.0,17.0,14.0,4.0,-9.0,9.0,,,,,,,,,,,,,,,96.0,87.0,4.0,9.0,1,0,13.0,0,1,1
2018,2017-10-21,True,False,ny,det,away,1.0,ny,det,NYK,DET,21700030.0,2017-10-21,2018.0,Regular Season,NYK,107.0,39.0,20.0,37.0,81.0,8.0,30.0,25.0,31.0,14.0,6.0,2.0,-4.0,DET,111.0,43.0,21.0,44.0,91.0,9.0,30.0,14.0,15.0,13.0,5.0,2.0,4.0,-4.0,,,,,,,,,,,,,,,107.0,111.0,1.0,-4.0,0,1,-3.0,0,0,0
2018,2017-10-21,True,False,tor,phi,home,-8.5,tor,phi,TOR,PHI,21700027.0,2017-10-21,2018.0,Regular Season,TOR,128.0,51.0,23.0,42.0,89.0,13.0,44.0,31.0,37.0,13.0,5.0,10.0,34.0,PHI,94.0,41.0,18.0,32.0,82.0,8.0,24.0,22.0,36.0,20.0,5.0,4.0,-34.0,34.0,,,,,,,,,,,,,,,128.0,94.0,-8.5,34.0,1,0,25.5,0,1,1
2018,2017-10-21,True,False,mia,ind,home,-9.5,mia,ind,MIA,IND,21700029.0,2017-10-21,2018.0,Regular Season,MIA,112.0,45.0,24.0,45.0,87.0,14.0,34.0,8.0,14.0,14.0,6.0,11.0,4.0,IND,108.0,45.0,18.0,43.0,96.0,7.0,19.0,15.0,21.0,10.0,9.0,4.0,-4.0,4.0,,,,,,,,,,,,,,,112.0,108.0,-9.5,4.0,1,0,-5.5,0,0,0
2018,2017-10-21,True,False,hou,dal,home,-11.5,hou,dal,HOU,DAL,21700032.0,2017-10-21,2018.0,Regular Season,HOU,107.0,54.0,17.0,39.0,82.0,11.0,47.0,18.0,22.0,15.0,12.0,4.0,16.0,DAL,91.0,41.0,19.0,31.0,84.0,13.0,31.0,16.0,21.0,14.0,6.0,0.0,-16.0,16.0,,,,,,,,,,,,,,,107.0,91.0,-11.5,16.0,1,0,4.5,0,1,1
